"Tm" "Ur" "Um" "Nn" "pl" "Mp" "Ml" "Cp" "Ct" "Lp" "Ca" "Uc" "Vf" "Hh" "Cc" "Aj" "Pp" "Pt" "Pl" "Tb" "Cs" "Db" "Eh" "Ec" "Eb" "Lg" "Cd" "Gc" "Sc" "Bb" "To" "Gg" "Gt" "Ac" "Mk" "Oa" "Oc" "He" "Am" "Cu" "Dl" "Ab" "Aa" "cc" "Dd" "Al" "Rt" "Ov" "Oh"
"Lg" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 1 0.75 0.38571428571 0.38571428571 0.38571428571 0.38571428571 0.38571428571 0.38571428571 0.38571428571 0.38571428571 0.38571428571 0.38571428571 0.38571428571 0.38571428571 0.38571428571 0.38571428571 0.38571428571 0.38571428571 0.38571428571 0.38571428571 0.38571428571 0.38571428571 0.38571428571 0.38571428571
"Cd" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.75 1 0.38571428571 0.38571428571 0.38571428571 0.38571428571 0.38571428571 0.38571428571 0.38571428571 0.38571428571 0.38571428571 0.38571428571 0.38571428571 0.38571428571 0.38571428571 0.38571428571 0.38571428571 0.38571428571 0.38571428571 0.38571428571 0.38571428571 0.38571428571 0.38571428571 0.38571428571
"Gc" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.38571428571 0.38571428571 1 0.70714285714 0.70714285714 0.70714285714 0.70714285714 0.70714285714 0.70714285714 0.70714285714 0.70714285714 0.70714285714 0.70714285714 0.70714285714 0.70714285714 0.70714285714 0.70714285714 0.70714285714 0.70714285714 0.70714285714 0.70714285714 0.70714285714 0.70714285714 0.70714285714
"Sc" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.38571428571 0.38571428571 0.70714285714 1 0.85714285714 0.72857142857 0.72142857143 0.72142857143 0.72142857143 0.72142857143 0.72142857143 0.72142857143 0.72142857143 0.72142857143 0.72142857143 0.72142857143 0.72142857143 0.71428571429 0.71428571429 0.71428571429 0.71428571429 0.71428571429 0.71428571429 0.71428571429
"Bb" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.38571428571 0.38571428571 0.70714285714 0.85714285714 1 0.72857142857 0.72142857143 0.72142857143 0.72142857143 0.72142857143 0.72142857143 0.72142857143 0.72142857143 0.72142857143 0.72142857143 0.72142857143 0.72142857143 0.71428571429 0.71428571429 0.71428571429 0.71428571429 0.71428571429 0.71428571429 0.71428571429
"To" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.38571428571 0.38571428571 0.70714285714 0.72857142857 0.72857142857 1 0.72142857143 0.72142857143 0.72142857143 0.72142857143 0.72142857143 0.72142857143 0.72142857143 0.72142857143 0.72142857143 0.72142857143 0.72142857143 0.71428571429 0.71428571429 0.71428571429 0.71428571429 0.71428571429 0.71428571429 0.71428571429
"Gg" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.38571428571 0.38571428571 0.70714285714 0.72142857143 0.72142857143 0.72142857143 1 0.96428571429 0.9 0.84285714286 0.77142857143 0.77142857143 0.77142857143 0.77142857143 0.77142857143 0.77142857143 0.77142857143 0.71428571429 0.71428571429 0.71428571429 0.71428571429 0.71428571429 0.71428571429 0.71428571429
"Gt" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.38571428571 0.38571428571 0.70714285714 0.72142857143 0.72142857143 0.72142857143 0.96428571429 1 0.9 0.84285714286 0.77142857143 0.77142857143 0.77142857143 0.77142857143 0.77142857143 0.77142857143 0.77142857143 0.71428571429 0.71428571429 0.71428571429 0.71428571429 0.71428571429 0.71428571429 0.71428571429
"Ac" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.38571428571 0.38571428571 0.70714285714 0.72142857143 0.72142857143 0.72142857143 0.9 0.9 1 0.84285714286 0.77142857143 0.77142857143 0.77142857143 0.77142857143 0.77142857143 0.77142857143 0.77142857143 0.71428571429 0.71428571429 0.71428571429 0.71428571429 0.71428571429 0.71428571429 0.71428571429
"Mk" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.38571428571 0.38571428571 0.70714285714 0.72142857143 0.72142857143 0.72142857143 0.84285714286 0.84285714286 0.84285714286 1 0.77142857143 0.77142857143 0.77142857143 0.77142857143 0.77142857143 0.77142857143 0.77142857143 0.71428571429 0.71428571429 0.71428571429 0.71428571429 0.71428571429 0.71428571429 0.71428571429
"Oa" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.38571428571 0.38571428571 0.70714285714 0.72142857143 0.72142857143 0.72142857143 0.77142857143 0.77142857143 0.77142857143 0.77142857143 1 0.94285714286 0.77857142857 0.77857142857 0.77857142857 0.77857142857 0.77857142857 0.71428571429 0.71428571429 0.71428571429 0.71428571429 0.71428571429 0.71428571429 0.71428571429
"Oc" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.38571428571 0.38571428571 0.70714285714 0.72142857143 0.72142857143 0.72142857143 0.77142857143 0.77142857143 0.77142857143 0.77142857143 0.94285714286 1 0.77857142857 0.77857142857 0.77857142857 0.77857142857 0.77857142857 0.71428571429 0.71428571429 0.71428571429 0.71428571429 0.71428571429 0.71428571429 0.71428571429
"He" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.38571428571 0.38571428571 0.70714285714 0.72142857143 0.72142857143 0.72142857143 0.77142857143 0.77142857143 0.77142857143 0.77142857143 0.77857142857 0.77857142857 1 0.87142857143 0.87142857143 0.87142857143 0.87142857143 0.71428571429 0.71428571429 0.71428571429 0.71428571429 0.71428571429 0.71428571429 0.71428571429
"Am" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.38571428571 0.38571428571 0.70714285714 0.72142857143 0.72142857143 0.72142857143 0.77142857143 0.77142857143 0.77142857143 0.77142857143 0.77857142857 0.77857142857 0.87142857143 1 0.90714285714 0.90714285714 0.90714285714 0.71428571429 0.71428571429 0.71428571429 0.71428571429 0.71428571429 0.71428571429 0.71428571429
"Cu" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.38571428571 0.38571428571 0.70714285714 0.72142857143 0.72142857143 0.72142857143 0.77142857143 0.77142857143 0.77142857143 0.77142857143 0.77857142857 0.77857142857 0.87142857143 0.90714285714 1 0.92142857143 0.92142857143 0.71428571429 0.71428571429 0.71428571429 0.71428571429 0.71428571429 0.71428571429 0.71428571429
"Dl" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.38571428571 0.38571428571 0.70714285714 0.72142857143 0.72142857143 0.72142857143 0.77142857143 0.77142857143 0.77142857143 0.77142857143 0.77857142857 0.77857142857 0.87142857143 0.90714285714 0.92142857143 1 0.95 0.71428571429 0.71428571429 0.71428571429 0.71428571429 0.71428571429 0.71428571429 0.71428571429
"Ab" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.38571428571 0.38571428571 0.70714285714 0.72142857143 0.72142857143 0.72142857143 0.77142857143 0.77142857143 0.77142857143 0.77142857143 0.77857142857 0.77857142857 0.87142857143 0.90714285714 0.92142857143 0.95 1 0.71428571429 0.71428571429 0.71428571429 0.71428571429 0.71428571429 0.71428571429 0.71428571429
"Aa" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.38571428571 0.38571428571 0.70714285714 0.71428571429 0.71428571429 0.71428571429 0.71428571429 0.71428571429 0.71428571429 0.71428571429 0.71428571429 0.71428571429 0.71428571429 0.71428571429 0.71428571429 0.71428571429 0.71428571429 1 0.72142857143 0.72142857143 0.72142857143 0.72142857143 0.72142857143 0.72142857143
"cc" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.38571428571 0.38571428571 0.70714285714 0.71428571429 0.71428571429 0.71428571429 0.71428571429 0.71428571429 0.71428571429 0.71428571429 0.71428571429 0.71428571429 0.71428571429 0.71428571429 0.71428571429 0.71428571429 0.71428571429 0.72142857143 1 0.94285714286 0.84285714286 0.84285714286 0.84285714286 0.84285714286
"Dd" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.38571428571 0.38571428571 0.70714285714 0.71428571429 0.71428571429 0.71428571429 0.71428571429 0.71428571429 0.71428571429 0.71428571429 0.71428571429 0.71428571429 0.71428571429 0.71428571429 0.71428571429 0.71428571429 0.71428571429 0.72142857143 0.94285714286 1 0.84285714286 0.84285714286 0.84285714286 0.84285714286
"Al" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.38571428571 0.38571428571 0.70714285714 0.71428571429 0.71428571429 0.71428571429 0.71428571429 0.71428571429 0.71428571429 0.71428571429 0.71428571429 0.71428571429 0.71428571429 0.71428571429 0.71428571429 0.71428571429 0.71428571429 0.72142857143 0.84285714286 0.84285714286 1 0.92142857143 0.92142857143 0.92142857143
"Rt" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.38571428571 0.38571428571 0.70714285714 0.71428571429 0.71428571429 0.71428571429 0.71428571429 0.71428571429 0.71428571429 0.71428571429 0.71428571429 0.71428571429 0.71428571429 0.71428571429 0.71428571429 0.71428571429 0.71428571429 0.72142857143 0.84285714286 0.84285714286 0.92142857143 1 0.92857142857 0.92857142857
"Ov" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.38571428571 0.38571428571 0.70714285714 0.71428571429 0.71428571429 0.71428571429 0.71428571429 0.71428571429 0.71428571429 0.71428571429 0.71428571429 0.71428571429 0.71428571429 0.71428571429 0.71428571429 0.71428571429 0.71428571429 0.72142857143 0.84285714286 0.84285714286 0.92142857143 0.92857142857 1 0.98571428571
"Oh" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.38571428571 0.38571428571 0.70714285714 0.71428571429 0.71428571429 0.71428571429 0.71428571429 0.71428571429 0.71428571429 0.71428571429 0.71428571429 0.71428571429 0.71428571429 0.71428571429 0.71428571429 0.71428571429 0.71428571429 0.72142857143 0.84285714286 0.84285714286 0.92142857143 0.92857142857 0.98571428571 1
